UNI_ID,COURSE_NAME,TITLE,PUBLICATION_YEAR,AUTHORS,PUBLISHER,RESOURCE_TYPE
3,professional naturopathic studies,journal of the australasian college of nutritional and environmental medicine,,,,journal
3,curating contemporary culture,the future of the image,,,verso,book
3,foundations of finance,journal of economics and business,,,,journal
3,competitive strategy,european business review,,,,journal
3,"gender, sexuality and culture","constructing sexualities: readings in sexuality, gender, and culture",,,prentice hall,book
3,financial planning,financial planning in australia,,,lexisnexis butterworths,book
3,financial planning,money management,,,ft business enterprises ltd,journal
3,theories of text and culture,bodies that matter: on the discursive limits of sex,,,routledge,book
3,selfmanagement and lifestyle medicine,patient education and counseling,,,,journal
3,communicating at university,bmc medical informatics and decision making,,,,journal
3,selfmanagement and lifestyle medicine,british journal of nutrition,,,,journal
3,theories of text and culture,literary theory: the complete guide,,,bloomsbury,book
3,lifestyle medicine and professional practice,journal of the american college of cardiology,,,,journal
3,mediation and dispute resolution,negotiation journal,,,,journal
3,psychological and environmental influences in lifestyle medicine,dermatology,,,,journal
3,psychological and environmental influences in lifestyle medicine,american journal on addictions,,,,journal
3,outdoor education i,map reading handbook,,,"land information services, dept. of environment and land management",book
3,theories of text and culture,new historicism and cultural materialism,,,"st. martins press,macmillan",book
3,lifestyle medicine and professional practice,bjm,,,,journal
3,psychological and environmental influences in lifestyle medicine,progress in cardiovascular nursing,,,,journal
3,aboriginal cultural strengths,strong and smart: towards a pedagogy for emancipation: education for first peoples,,,routledge,book
3,welfare law,issues facing australian families: human services respond,,,longman australia,book
3,human rights,left legalism/left critique,,,,book
3,human rights,cases and materials on international law,,,oxford university press,book
3,aboriginal social realities,aboriginal law bulletin,,,"aboriginal law research unit, in association with the legal service bulletin cooperative ltd",journal
3,aboriginal social realities,australian historical studies,,,,journal
3,aboriginal social realities,international review for the sociology of sport,,,,journal
3,welfare law,australian feminist law journal,,,,journal
3,welfare law,law institute journal,,,law institute of victoria,journal
3,welfare law,australian lawyer,,,law council of australia,journal
3,nonstandard lives work and family in australia,social policy in the post-welfare state: australian society in the 21st century,,,pearsonlongman,book
3,nonstandard lives work and family in australia,work-lifestyle choices in the 21st century: preference theory,,,oxford university press,book
3,contemporary music styles,"strange sounds: music, technology & culture",,,routledge,book
3,introduction to psychology ii,journal of personality and social psychology,,,,journal
3,professional placement,the annals of the american academy of political and social science,,,,journal
3,introduction to creative writing,the penguin book of australian women poets,,,penguin,book
3,introduction to psychology ii,australian and new zealand journal of psychiatry,,,,journal
3,sustainable business management,climate policy,,,,journal
3,introduction to creative writing,text: the journal of the australian association of writing programs,,,,journal
3,unruly subjects citizenship,"a nation by rights: national cultures, sexual identity politics, and the discourse of rights",,,temple university press,book
3,sustainable business management,frontiers of environmental science & engineering,,,,journal
3,unruly subjects citizenship,sexualities,,,,journal
3,sustainable business management,biotechnology advances,,,,journal
3,audio visual synchronisation,composing for the films,,,continuum,book
3,unruly subjects citizenship,governing the soul: the shaping of the private self,,,routledge,book
3,unruly subjects citizenship,cultural pedagogies and human conduct,,,routledge,book
3,audio visual synchronisation,film music: a very short introduction,,,oxford university press,book
3,exercise and musculoskeletal health,the journals of gerontology series a: biological sciences and medical sciences,,,,journal
3,exercise and musculoskeletal health,physical therapy in sport,,,,journal
3,curriculum studies in early childhood,australasian journal of early childhood,,,,journal
3,issues and enquiry in arts and business,journal of industrial ecology - wiley online library,,,,journal
3,understanding children and childhood,children of the lucky country? how australian society has turned its back on chidlren and why children matter.,,,macmillan,book
3,principles of gastronomy,sweets,,,bloomsbury,book
3,principles of gastronomy,accounting for taste: the triumph of french cuisine,,,university of chicago press,book
3,exercise and cardiopulmonary health,journal of science and medicine in sport,,,,journal
3,indigenous knowledge,learning communities: international journal of learning in social contexts,,,,journal
3,indigenous knowledge,native title report 2008 - chapter 7 | australian human rights commission,,,,webpage
3,human resource management,international journal of human resource management,,,,journal
3,human resource management,harvard business review,,,,journal
3,indigenous knowledge,the dreaming & other essays,,,black inc. agenda,book
3,indigenous knowledge,"heartsick for country: stories of love, spirit and creation",,,fremantle press,book
3,indigenous knowledge,dingo makes us human: life and land in an aboriginal australian culture,,,cambridge university press,book
3,exercise physiology for healthy individuals,"journal of dance medicine & science 2013, vol",,,,journal
3,local government,commonwealth journal of local government,,,,journal
3,"health systems, policies and practices",public management review,,,,journal
3,human resource management,personnel review,,,,journal
3,"health systems, policies and practices",international journal of health care quality assurance,,,,journal
3,contemporary debates in visual culture,"art & research: a jpournal of ideas, contexts and methods",,,,journal
3,exercise physiology for healthy individuals,research quarterly for exercise and sport,,,taylor  francis ltd.,journal
3,qualitative research methods for health,qualitative methods for health research,,,sage publications,book
3,care management and leadership,the gerontologist,,,,journal
3,understanding the business environment,management decision,,,,journal
3,understanding the business environment,human resource management journal,,,,journal
3,understanding the business environment,corporate communications,,,"emerald group publishing, limited",journal
3,criminology,the age,,,,journal
3,local government,sustainable development,,,,journal
3,understanding the business environment,journal of service management,,,,journal
3,"human growth, development and ageing","bmj: british medical journal (overseas & retired doctors edition) (bmj br med j (overseas & retired doctors ed)), 2011 sep 3;  343 (7821): 469-73",,,,journal
3,understanding the business environment,journal of managerial psychology,,,,journal
3,"human growth, development and ageing",plos one,,,,journal
3,writing lives,"past tenses: essays on writing, autobiography and history",,,river oram press,book
3,physical health care in mental health,"drug, healthcare and patient safety",,,,journal
3,writing lives,australian folklore: a yearly journal of folklore studies,,,university of new england,journal
3,"peace, war and international politics",review of international political economy,,,,journal
3,"peace, war and international politics",european journal of international relations,,,,journal
3,"peace, war and international politics",prism,,,,journal
3,"peace, war and international politics",annual review of political science,,,,journal
3,"peace, war and international politics",international security,,,the mit pressthe mit press,journal
3,"peace, war and international politics",journal of african economics,,,,journal
3,"peace, war and international politics",international peacekeeping,,,,journal
3,writing lives,delinquent angel,,,random house,book
3,"peace, war and international politics",the globalization of world politics: an introduction to international relations,,,oxford university press,book
3,"peace, war and international politics",journal of peace research,,,"sage publications, ltd.sage publications, ltd.",journal
3,"peace, war and international politics",foreign affairs,,,,journal
3,engaging with children and young people,australasian psychiatry,,,,journal
3,engaging with children and young people,interventions with bereaved children,,,j. kingsley publishers,book
3,service management for tourism and hospitality,sloan management review (1986-1998),,,,journal
3,culture and change implementation,leader to leader,,,,journal
3,writing from the edge,text special issue no 20: writing creates ecology: ecology creates writing,,,,journal
3,service management for tourism and hospitality,service quality: multidisciplinary and multinational perspectives,,,lexington books,book
3,nutrition physiology,journal of dental research,,,,journal
3,writing from the edge,uplands: poems,,,five islands press,book
3,"legal research context, perspective and method",multimethod research: a synthesis of styles,,,sage publications,book
3,communication in organisations,introducing communication theory,,,mcgrawhill,book
3,high acuity midwifery,"obstetrics, gynaecology & reproductive medicine",,,,journal
3,sensory cultures,new scientist,,,,journal
3,communication in organisations,the man who mistook his wife for a hat,,,pan books,book
3,nutrition physiology,journal of gastroenterology and hepatology,,,,journal
3,nutrition physiology,neuropharmacology,,,,journal
3,sensory cultures,"sensing the past: seeing, hearing, smelling, tasting, and touching in history",,,university of california press,book
3,high acuity midwifery,international journal of mental health nursing,,,,journal
3,short story writing,dubliners,,,viking press,book
3,sensory cultures,the book of touch,,,berg publishers,book
3,the mental health of australian indigenous peoples,psychotherapy and politics international,,,,journal
3,"writing place landscapes, memory, history",the post-colonial studies reader,,,routledge,book
3,the mental health of australian indigenous peoples,counselling psychology quarterly,,,,journal
3,global marketing,herald sun,,,,journal
3,global marketing,the courier mail,,,,journal
3,the mental health of australian indigenous peoples,first peoples child & family review,,,,document
3,indigenous research theory and practice,tribal college journal,,,,journal
3,culture and change implementation,journal of world business,,,,journal
3,writing from the edge,what is surrealism?,,,pathfinder,book
3,music industry landscapes,the cultural study of music: a critical introduction,,,routledge,book
3,primary health care midwifery,journal of perinatology,,,,journal
3,human resource management,journal of organizational behavior,,,,journal
3,human resource management,human resource development international,,,,journal
3,primary health care midwifery,hormones and behavior,,,,journal
3,allied health honours thesis i,research methods in education,,,routledge,book
3,colonising histories,quadrant,,,quadrant magazine limited,journal
3,colonising histories,griffith review,,,griffith university  griffith review,journal
3,allied health honours thesis i,evaluation in the face of uncertainty: anticipating surprise and responding to the inevitable,,,guilford press,book
3,allied health honours thesis i,do it yourself social research,,,allen  unwin,book
3,aesthetics of food and wine,authenticity in the kitchen,,,prospect books uk,book
3,allied health honours thesis i,"practical program evaluation: assessing and improving planning, implementation, and effectiveness",,,sage publications,book
3,allied health honours thesis i,basics of qualitative research: techniques and procedures for developing grounded theory,,,sage publications,book
3,communication development across the lifespan,ambulatory pediatrics,,,,journal
3,allied health honours thesis i,"evaluation fundamentals: insights into the outcomes, effectiveness, and quality of health programs",,,sage publications,book
3,allied health honours thesis i,"principles of assessment and outcome measurement for occupational therapists and physiotherapists: theory, skills and application",,,john wiley  sons,book
3,communication development across the lifespan,policy,,,,journal
3,allied health honours thesis i,systematic approaches to a successful literature review,,,sage,book
3,colonising histories,australian journal of politics & history,,,,journal
3,allied health honours thesis i,social research methods: qualitative and quantitative approaches,,,pearson,book
3,colonising histories,"aboriginal australians: black responses to white dominance, 1788-2001",,,allen  unwin,book
3,communication development across the lifespan,"journal of speech, language, and hearing research",,,,journal
3,colonising histories,issue analysis,,,,journal
3,storytelling,the power of story: teaching through storytelling,,,waveland press,book
3,social work foundations for practice,british journal of social work,,,,journal
3,social work foundations for practice,the economic and labour relations review,,,,journal
3,social work foundations for practice,guardian,,,,journal
3,social work foundations for practice,promoting diversity and social justice: educating people from privileged groups,,,routledge,book
3,healthcare professional portfolio part a,journal of allied health,,,,journal
3,healthcare professional portfolio part a,western journal of nursing research,,,,journal
3,entrepreneurship in tourism and hospitality,"entrepreneurship in the hospitality, tourism and leisure industries",,,butterworthheinemann,book
3,"hospitality history, politics and culture",the service industries journal,,,,journal
3,criminal process,principles of criminal law,,,lawbook co,book
3,food and drink in contemporary society,food studies: an introduction to research methods,,,berg publishers,book
3,criminal process,new zealand law review,,,,journal
3,qualitative research methods,ssrn electronic journal,,,,journal
3,primary health care midwifery,patient experience journal,,,,journal
3,advanced coastal biogeochemistry,"estuarine, coastal and shelf science",,,,journal
3,"the role of the midwife as leader, mentor and educator",the social context of birth,,,crc press,book
3,qualitative research methods,business research methods,,,oxford university press,book
3,primary health care midwifery,bmc pregnancy and childbirth,,,,journal
3,"the role of the midwife as leader, mentor and educator",action research,,,,journal
3,qualitative research methods,journal of clinical nursing,,,,journal
3,global social movements,sociological theory,,,american sociological association,journal
3,utilising research to promote quality in health care,error reduction in health care: a systems approach to improving patient safety,,,josseybass,book
3,written communication,academic instincts,,,princeton university press,book
3,networked society,approaching religion,,,,journal
3,utilising research to promote quality in health care,australian journal of advanced nursing,,,,journal
3,introduction to lifestyle medicine,"quest (00336297) aug2001, vol",,,,journal
3,teaching and supervision in a clinical setting,internal medicine journal,,,,journal
3,utilising research to promote quality in health care,how to read a paper: the basics of evidence-based medicine,,,wiley,book
3,networked society,sociology in the age of the internet,,,mcgraw hillopen university press,book
3,networked society,think marriages & families,,,pearson,book
3,indigenous jurisprudence,the land is the source of the law: a dialogic encounter with indigenous jurisprudence,,,routledge,book
3,written communication,literacies,,,cambridge university press,book
3,global social movements,globalization and resistance: transnational dimensions of social movements,,,rowman  littlefield,book
3,"speech, voice and hearing sciences",seminars in speech and language,,,,journal
3,"writing place landscapes, memory, history",words for country: landscape & language in australia,,,university of new south wales press,book
3,short story writing,how fiction works,,,jonathan cape,book
3,exercise and musculoskeletal health,journal of physiological anthropology,,,,journal
3,pharmacognosy,drugs of natural origin: a textbook of pharmacognosy,,,apotekarsocieteten,book
3,pharmacognosy,epilepsy & behavior,,,,journal
3,pharmacognosy,phytochemistry of plants used in traditional medicine,,,clarendon press,book
3,international and comparative human resource management,hrmonthly,,,,journal
3,international and comparative human resource management,international labour review,,,,journal
3,hot topics feature journalism,journalism,,,,journal
3,hot topics feature journalism,apocalypse postponed,,,"indiana university press,british film institute",book
3,"australia, asia and the world",fostering global citizenship and global competence: discussion papers,,,,proceedings
3,"australia, asia and the world",mandala journal,,,,journal
3,quantitative research methods for health,nursing standard,,,rcni,journal
3,the role of the perioperative nurse  surgeon's assistant,aorn journal (aorn j),,,,journal
3,earth systems ii the hydrosphere,stream hydrology: an introduction for ecologists,,,wiley,book
3,environmental education,the nature principle: human restoration and the end of the nature deficit disorder,,,algonquin books,book
3,global perspectives in music,black music research journal,,,,journal
3,global perspectives in music,will pop eat itself?,,,faber,book
3,"australia, asia and the world",teaching education,,,,journal
3,global perspectives in music,ethnomusicology,,,university of illinois presssociety for ethnomusicologysociety for ethnomusicology,journal
3,philosophy on screen film and television,philosophy through film,,,routledge,book
3,global perspectives in music,annual review of anthropology,,,annual reviewsannual reviews,journal
3,fisheries management,current biology,,,,journal
3,exercise biochemistry and drugs in sport,diabetologia,,,,journal
3,introduction to sociology,society and gender: an introduction to sociology,,,macmillan education australia,book
3,fisheries management,science,,,,journal
3,project management,leadership and management in engineering,,,,journal
3,indigenous research theory and practice,handbook of critical and indigenous methodologies,,,sage,book
3,food and wine writing,food and wine pairing: a sensory experience,,,john wiley,book
3,food and wine writing,double room,,,,website
3,human rights and indigenous peoples,indigenous law bulletin,,,,journal
3,evaluation of occupational therapy programs,introduction to research in the health sciences,,,churchill livingstone elsevier,book
3,allied health honours seminar ii,the good research guide: for small-scale social research projects,,,mcgrawhillopen university press,book
3,evaluation of occupational therapy programs,research methods in practice: strategies for description and causation,,,sage publications,book
3,addiction and aboriginal communities,pimatisiwin: a journal of aboriginal and indigenous community health,,,native counselling services of alberta.,journal
3,addiction and aboriginal communities,binan goonj: bridging cultures in aboriginal health,,,churchill livingstoneelsevier,book
3,organisational change and development,the journal of management development,,,,journal
3,organisational change and development,strategy & leadership,,,,journal
3,facility and risk management for hospitality operations,developing hospitality properties and facilities,,,elsevier butterworthheinemann,book
3,applied ethics and sustainability,ethics in science and environmental politics,,,,journal
3,"grief, trauma and crisis counselling","australian and new zealand journal of family therapy, the",,,australian academic press,journal
3,disability and community practice,the road to social work and human service practice,,,cengage learning australia,book
3,facility and risk management for hospitality operations,hotel asset management: principles & practices,,,"ahlei, american hotel  lodging educational institute",book
3,disability and community practice,"psychiatry, psychology and law",,,,journal
3,applied ethics and sustainability,case studies in business ethics,,,pearson prentice hall,book
3,facility and risk management for hospitality operations,lodging hospitality,,,,journal
3,introduction to written texts,the madwoman in the attic: the woman writer and the nineteenth-century literary imagination,,,yale university press,book
3,applied ethics and sustainability,doing ethics: moral reasoning and contemporary issues,,,norton  company,book
3,research methods for arts and social sciences,communications toolkit,,,cengage learning australia,book
3,environmental management for hotels and attractions,european journal of tourism research,,,,journal
3,environmental management for hotels and attractions,energy and buildings,,,,journal
3,"hospitality history, politics and culture",journal of foodservice,,,,journal
2, overseas aid and international development (oua) ,international sociology,,,,journal
2, overseas aid and international development (oua) ,critical social policy,,,,journal
2, overseas aid and international development (oua) ,urban affairs review,,,,journal
2, overseas aid and international development (oua) ,community capacity building or state opportunism?,,,,article
2, overseas aid and international development (oua) ,journal of refugee studies,,,,journal
2, overseas aid and international development (oua) ,dams and development: a new framework for decision-making,,,,document
2, overseas aid and international development (oua) ,an essay on the meaning(s) of “capacity building”—with an application to serbia,,,,article
2, overseas aid and international development (oua) ,sustainable development: mapping different approaches,,,,article
2, overseas aid and international development (oua) ,does fair trade make a difference? the case of small coffee producers in nicaragua,,,,article
2, overseas aid and international development (oua) ,from adjustment to sustainable development: the obstacle of free trade,,,,article
2, overseas aid and international development (oua) ,the journal of development studies,,,,journal
2, overseas aid and international development (oua) ,"famine that kills: darfur, sudan",,,oxford university press,book
2, overseas aid and international development (oua) ,world development,,,,journal
2, overseas aid and international development (oua) ,poor economics: a radical rethinking of the way to fight global poverty,,,publicaffairs,book
2, overseas aid and international development (oua) ,the myth of aid,,,,chapter
2, practical methods of instruction ,ways of learning: learning theories and learning styles in the classroom,,,routledge,book
2, practical methods of instruction ,chapter 2: structuring productive groups,,,,chapter
2, practical methods of instruction ,journal of the learning sciences,,,,journal
2, practical methods of instruction ,encouraging workplace innovation using the ‘world cafe’ model,,,,article
2, practical methods of instruction ,australian aboriginal students in higher education. pages 35-43,,,,chapter
2, practical methods of instruction ,teaching adults. 106-121,,,continuum,chapter
2, practical methods of instruction ,using group-based learning in higher education,,,kogan page,book
2, virtual environments for games and simulations ,computer graphics: principles and practice,,,addisonwesley,book
2, virtual environments for games and simulations ,programming believable characters for computer games,,,charles river media,book
2, crop and pasture science ,principles of plant genetics and breeding,,,wileyblackwell,book
2, crop and pasture science ,principles of field crop production,,,pearson prentice hall,book
2, crop and pasture science ,crop water deficits: a decade of progress,,,,chapter
2, introduction to graphic design ,part 1: the prologue to graphic design,,,,chapter
2, thinking communication ,chapter 1. what is academic culture?,,,,chapter
2, the impact on patient safety ,human factors: the journal of the human factors and ergonomics society,,,,journal
2, the impact on patient safety ,practical patient safety,,,oxford university press,book
2, the impact on patient safety ,journal of nursing management,,,,journal
2, the impact on patient safety ,training needs for adaptive coordination: utilizing task analysis to identify coordination requirements in three different clinical settings,,,,article
2, global biosecurity ,global threats from invasive alien species in the twenty-first century and national response capacities,,,,article
2, global biosecurity ,animal conservation,,,,journal
2, global biosecurity ,"ebola hemorrhagic fever outbreaks: strategies for effective epidemic management, containment and control",,,,article
2, knowledge management ,lecture slides ict505,,,,document
2, knowledge management ,success factors in implementing knowledge based systems,,,,article
2, knowledge management ,international journal of human-computer studies,,,,journal
2, communication strategy and planning ,strategic communication: campaign planning,,,oxford university press,book
2, communication strategy and planning ,social media communication strategies,,,,article
2, finance law ,speech: the integration of financial regulatory authorities,,,,document
2, finance law ,regulatory guide rg 209 credit licensing: responsible lending conduct,,,,document
2, finance law ,australian corporate law,,,lexisnexis butterworths,book
2, finance law ,australian corporate law. chapter 11,,,,chapter
2, finance law ,regulatory guide rg 36 licensing: financial product advice and dealing,,,,document
2, finance law ,law of investments. [3.350]-[3.390],,,,chapter
2, finance law ,the madoff affair,,,"requesttv, rmit pub",audiovisualdocument
2, finance law ,securities over personal property,,,butterworths,book
2, finance law ,financial management: principles and applications,,,pearson australia,book
2, finance law ,"corporate governance: theories, principles and practice",,,oxford university press,book
2, internship ,journal of progressive human services,,,,journal
2," small, medium and large ",beyond the screen: emerging cinema and engaging audiences,,,bloomsbury academic,book
2," small, medium and large ",remediation: understanding new media,,,mit press,book
2," small, medium and large ",the film studies reader,,,arnold,book
2, engaging communities through drama ,describing drama,,,,chapter
2, issues and practices ,"chapter 1: international schools: antecedents, current issues and metaphors for the future",,,,chapter
2, issues and practices ,mapping international education: a historical survey 1893-1944,,,,article
2, issues and practices ,oxford review of education,,,,journal
2, issues and practices ,internationalizing curriculum,,,,article
2, issues and practices ,journal of research in international education,,,,journal
2, issues and practices ,third culture kids: growing up among worlds,,,nicholas brealey pub,book
2, issues and practices ,an international education within a national system: anne keeling explains how the international primary curriculum provides an alternative or supplement to the british national curriculum,,,,article
2, issues and practices ,coherence and consistency in international curricula: a study of the international baccalaureate diploma and middle years programmes,,,,chapter
2, issues and practices ,the international baccalaureate: its growth and complexity of challenges,,,,chapter
2, issues and practices ,the growing momentum and legitimacy behind an alliance for international education,,,,article
2, issues and practices ,the sage handbook of research in international education,,,sage publications,book
2, issues and practices ,theory of knowledge: ib diploma programme,,,international baccalaureate,book
2, popular music ,popular music,,,cambridge university presscambridge university press,journal
2, popular music ,the blues: a very short introduction,,,oxford university press,book
2, popular music ,the cambridge companion to pop and rock,,,cambridge university press,book
2, communication research ,applied mass communication theory: a guide for media practitioners,,,routledge,book
2, communication research ,teaching the literature review: a practical approach for college instructors,,,,article
2, communication research ,chapter 6: theories of international communication,,,,chapter
2, communication research ,international communication: a reader,,,routledge,book
2, communication research ,human research ethics | murdoch university,,,,webpage
2, communication research ,"chapter 11: research interviewing, chapter 12: focus groups and chapter 13: field studies",,,oxford university press,chapter
2, communication research ,how to do media and cultural studies,,,sage,book
2, communication research ,chapter 10: completing a student research project,,,,chapter
2, international security studies ,international relations,,,polity,book
2, developing research skills and methods (oua) ,taking the leap into the research world,,,,chapter
2, developing research skills and methods (oua) ,part 1: the scope of survey research,,,,chapter
2, developing research skills and methods (oua) ,hermeneutics,,,,chapter
2," primary curriculum iv (humanities and social science, science) ",empowering education: critical teaching for social change. chapter 1: education is politics: an agenda for empowerment,,,,chapter
2," primary curriculum iv (humanities and social science, science) ",paper cranes and peace,,,,article
2," primary curriculum iv (humanities and social science, science) ",getting beyond the facts: teaching social studies/social sciences in the twenty-first century,,,p. lang,book
2," primary curriculum iv (humanities and social science, science) ",teaching to make a difference: advice to new teachers from teachers who’ve been there,,,,article
2, the developing mind ,journal of experimental child psychology,,,,journal
2, the developing mind ,recent advances in relational complexity theory and its application to cognitive development,,,,chapter
2, the developing mind ,chapter 4: intelligent systems: properties and principles,,,,chapter
2, the developing mind ,psychological science,,,,journal
2, thinking scientifically ,annmarie thomas: hands-on science with squishy circuits | ted talk |,,,,webpage
2, thinking scientifically ,synergy - tools and calculators,,,synergy,webpage
2, web analytics ,"information, communication & society",,,,journal
2, web analytics ,big data & society,,,,journal
2, web analytics ,review of policy research,,,,journal
2, web analytics ,international journal of communication,,,,journal
2, web analytics ,new media & society,,,,journal
2, web analytics ,how web tracking changes user agency in the age of big data: the used user,,,,article
2, managing strategic risk and projects ,journal of the international academy for case studies,,,,journal
2, managing strategic risk and projects ,challenges and solutions for marketing in a digital era,,,,article
2, managing strategic risk and projects ,a contextual understanding of projects—the importance of space and time,,,,article
2, managing strategic risk and projects ,the journal for quality and participation,,,,journal
2, managing strategic risk and projects ,international journal of project management,,,,journal
2, managing strategic risk and projects ,a conceptualisation of relationship quality in construction procurement,,,,article
2, marine ecology ,tropical reefs,,,,document
2, marine ecology ,climate change 1,,,,document
2, corporations law ,teck corp ltd v millar (1973) 33 dlr (3d) 288,,,,legalcasedocument
2, corporations law ,australian company law cases premium,,,,journal
2," politics, journalism and society ",people and their opinions: thinking critically about public opinion,,,routledge,book
2," politics, journalism and society ","the daily globe: environmental change, the public and the media",,,earthscan,book
2," religion, politics, and society in sixteenth-century england ",pages 209-210,,,,chapter
2," religion, politics, and society in sixteenth-century england ",the tudor constitution: documents and commentary,,,cambridge university press,book
2," religion, politics, and society in sixteenth-century england ","the making of religious policy, 1533-1546: henry viii and the search for the middle way",,,,article
2," religion, politics, and society in sixteenth-century england ","revolution in religion: the english reformation, 1530-1570",,,university of wales press,book
2," religion, politics, and society in sixteenth-century england ",pages 7-9,,,,chapter
2," culture, diversity and crime ",health care for women international,,,"hemisphere pub. corp,routledge",journal
2," culture, diversity and crime ",indigenous deaths in custody: report summary | australian human rights commission,,,,webpage
2, terrorism in a globalised world ,chapter 1: is terrorism still a useful analytical term or should it be abandoned,,,,chapter
2, terrorism in a globalised world ,contemporary politics,,,,journal
2, terrorism in a globalised world ,the british journal of politics and international relations,,,,journal
2, terrorism in a globalised world ,a systemic approach to security: beyond the tradeoff between security and liberty,,,,article
2, terrorism in a globalised world ,"chapter 11: what is distinctive about terrorism, and what are the philosophical implications?",,,,chapter
2, materials chemistry ,d- and f- block chemistry,,,royal society of chemistry,book
2, materials chemistry ,chapter 9: coordination chemistry: theory,,,,chapter
2, managing wetlands and water ,"progressive development of the amc wetlands centre, capel, western australia",,,,chapter
2, managing wetlands and water ,the waterbug book: a guide to the freshwater macroinvertebrates of temperate australia,,,csiro publishing,book
2, international media law ,random house australia pty. ltd. v abbott (1999) 94 fcr 296; (1999) 167 alr 224,,,,legalcasedocument
2, international media law ,echr case of autronic ag v. switzerland,,,,legalcasedocument
2, international media law ,echr case of gül and others v. turkey,,,,legalcasedocument
2, international media law ,random house australia pty. ltd. v abbott (1999) 167 alr 224,,,,legalcasedocument
2, international media law ,"free speech on campus audit 2017, matthew lesh, research fellow (pdf)",,,,document
2, international media law ,acma investigation report no 2814,,,,document
2, international media law ,united kingdom: cliff richard wins privacy case against bbc and south yorkshire police | global legal monitor,,,,webpage
2, consulting and freelancing ,transformations in business & economics,,,,journal
2, consulting and freelancing ,"is your marketing material promoting your business, or trashing it?",,,,article
2, consulting and freelancing ,10 ways to grow your homebased business,,,,webpage
2, consulting and freelancing ,freelancing for dummies,,,s.n.,book
2, consulting and freelancing ,the economics of self-employment and entrepreneurship,,,cambridge,book
2, financial management in health care ,health care finance,,,"jones  bartlett learning, llc",book
2, wellbeing ,scandinavian journal of caring sciences,,,,journal
2, wellbeing ,can arts projects improve young people’s wellbeing? a social capital approach,,,,article
2, wellbeing ,international journal of behavioral nutrition and physical activity,,,,journal
2, microeconomics b ,the hidden traps in decision making,,,,article
2, microeconomics b ,price carbon — i will if you will,,,,article
2, foundations of the environment ,leaf and branch: trees and tall shrubs of perth,,,dept. of conservation and land management,book
